feature,feature_type
team_id,categorical
opponent_team_id,categorical
home_away,categorical
stadium_id,categorical
starting_pitcher_id,categorical
current_pitcher_id,categorical
batting_order_start_group,categorical
score_state_before_inning,categorical
inning,numeric
top_bottom,numeric
is_late_inning,numeric
batting_order_start,numeric
is_top_order_start,numeric
is_cleanup_start,numeric
pitcher_is_starter,numeric
pitcher_times_through_order,numeric
pitcher_era_before_inning,numeric
opponent_starter_era,numeric
team_avg_runs_7d,numeric
opponent_avg_runs_7d,numeric
opponent_avg_runs_allowed_7d,numeric
team_run_scored_inning_rate_7d,numeric
opponent_run_allowed_inning_rate_7d,numeric
team_recent_2plus_inning_rate_7d,numeric
opponent_recent_2plus_allowed_rate_7d,numeric
score_diff_before_inning,numeric
is_close_game,numeric
is_blowout,numeric
